ENTRYID,ENTRYTYPE,ENTRYNAME,TOTALRUN,TOTALWINS,PRE95ENTRYID
793597,Jockey,"Danny Burton",309,27,
977909,Jockey,"David Prichard",231,27,
991045,Jockey,"Tom Cheesman",468,26,
1158482,Jockey,"Aiden Brookes",210,26,
993419,Jockey,"Mr Kit Alexander",242,25,
1072336,Jockey,"Edward Austin",250,25,
1074356,Jockey,"Joe Williamson",275,25,
1003317,Jockey,"Mr Robert Hawker",323,23,
1081330,Jockey,"Jordan Williams",293,23,
1133395,Jockey,"Adam Farragher",165,23,
984108,Jockey,"Mr Joshua Newman",168,21,
1009383,Jockey,"Jack Savage",135,21,
1028017,Jockey,"Mr Freddie Mitchell",216,21,
1112333,Jockey,"Aaron Anderson",370,21,
1126144,Jockey,"Mr Jason Dixon",146,21,
961085,Jockey,"Miss Lucy Turner",128,20,
1122560,Jockey,"Tristan Durrell",119,20,
1134938,Jockey,"Mark Winn",125,20,
1101445,Jockey,"Gianluca Sanna",156,19,
1104985,Jockey,"Erika Parkinson",145,19,
1126806,Jockey,"Aidan Keeley",220,18,
1145387,Jockey,"Nathan Brennan",109,18,
1054746,Jockey,"Miss Emily Easterby",158,17,
1075909,Jockey,"Archie Bellamy",170,17,
1093658,Jockey,"Alan Doyle",172,17,
1001094,Jockey,"Mr Bradley Gibbs",105,16,
1032594,Jockey,"James Martin",192,16,
1042634,Jockey,"Mr Martin McIntyre",137,16,
1114102,Jockey,"Morgan Cole",184,16,
981717,Jockey,"Mr John Dixon",162,15,
1060860,Jockey,"Ben Ffrench Davis",147,15,
1080330,Jockey,"Isobel Francis",296,15,
1112609,Jockey,"Thomas Doggrell",142,15,
1146521,Jockey,"Toby Wynne",86,15,
997570,Jockey,"Miss Natalie Parker",51,14,
1126776,Jockey,"Finn Lambert",95,14,
1132015,Jockey,"Caoilin Quinn",135,14,
1132948,Jockey,"William Shanahan",244,14,
968973,Jockey,"Miss Danielle Mooney",352,13,
974607,Jockey,"Mr Dale Peters",42,13,
1089712,Jockey,"Joe Anderson",143,13,
1054080,Jockey,"Mr Matthew Ennis",126,12,
1064536,Jockey,"Mr Peter Bryan",54,12,
1120535,Jockey,"Rose Dawes",90,12,
544981,Jockey,"Mr Geoff Barfoot-Saunt",208,11,544981
752538,Jockey,"Mrs Jo Supple",98,11,
1017867,Jockey,"Ben Bromley",58,11,
1116670,Jockey,"Owen Lewis",97,11,
1121470,Jockey,"Miss Sophie Smith",109,11,
1121615,Jockey,"Bradley Harris",89,11,
1153042,Jockey,"Mohammed Tabti",92,11,
1175009,Jockey,"Jack Hogan",102,11,
1144245,Jockey,"Ned Fox",57,10,
1153712,Jockey,"Jefferson Smith",105,10,
912599,Jockey,"Mr Nick Orpwood",65,9,
1013583,Jockey,"Mr Eireann Cagney",90,9,
1032942,Jockey,"Miss Sarah Bowen",154,9,
1101387,Jockey,"Bradley Roberts",40,9,
978065,Jockey,"Mr Matthew Hampton",90,8,
1026952,Jockey,"Mr Aiden Blakemore",198,8,
1079673,Jockey,"Mr George Eddery",50,8,
1087196,Jockey,"Miss Alice Stevens",67,8,
1087614,Jockey,"Dillan Hurst",96,8,
1112627,Jockey,"Jay Tidball",56,8,
1123515,Jockey,"Luke Scott",71,8,
1148004,Jockey,"William Pyle",130,8,
820806,Jockey,"Mr Peter Mason",68,7,
910899,Jockey,"Alison Johnson",213,7,
960505,Jockey,"Miss Immy Robinson",28,7,
1067816,Jockey,"Jamie Brace",52,7,
1098844,Jockey,"Miss Amy Collier",75,7,
1120766,Jockey,"Ellis Collier",41,7,
1121228,Jockey,"Alex Jary",105,7,
1130308,Jockey,"Sam Feilden",123,7,
618260,Jockey,"Mr David Turner",202,6,
1057042,Jockey,"Harriet Tucker",106,6,
1074859,Jockey,"Mr Tom Broughton",86,6,
1075049,Jockey,"Mr Charlie O'Shea",19,6,
1089528,Jockey,"Katie O'Farrell",54,6,
1099388,Jockey,"Alex Fielding",59,6,
1102262,Jockey,"Thomasina Eyston",55,6,
1105383,Jockey,"Molly Presland",98,6,
1112539,Jockey,"Mr Henry Crow",9,6,
1139588,Jockey,"Mr Henry Main",38,6,
1141037,Jockey,"Kaiya Fraser",26,6,
1144162,Jockey,"Peter Coleman",40,6,
1147805,Jockey,"Lewis Dobb",43,6,
1169418,Jockey,"Miss Fern O'Brien",39,6,
518981,Jockey,"Mr Will Ramsay",40,5,518981
956183,Jockey,"Mr Alex Chadwick",102,5,
1013601,Jockey,"Mr Darren Andrews",48,5,
1127333,Jockey,"Elle-May Croot",86,5,
1131980,Jockey,"Conner McCann",18,5,
1152465,Jockey,"Mr Beau Morgan",15,5,
1167930,Jockey,"Mr Freddie Gordon",21,5,
1172257,Jockey,"Daire McConville",22,5,
513383,Jockey,"Miss Michelle Bryant",178,4,
1008571,Jockey,"Mr Will Pettis",72,4,
1074787,Jockey,"Mr A J O'Neill",18,4,
1097016,Jockey,"Mr Jamie Neild",38,4,
1099860,Jockey,"Miss Izzie Marshall",30,4,
1113147,Jockey,"Miss Jessica Bedi",35,4,
1114212,Jockey,"Miss Megan Jordan",30,4,
1135144,Jockey,"Jack Martin",35,4,
1154560,Jockey,"Alec Voikhansky",82,4,
805317,Jockey,"Mr Rupert Stearn",45,3,
1029637,Jockey,"Mr John Reddington",29,3,
1032479,Jockey,"Mr Thomas Greenwood",66,3,
1035229,Jockey,"Aidan MacDonald",36,3,
1056754,Jockey,"Miss Megan Wingrove",12,3,
1058224,Jockey,"Miss Chloe Emsley",23,3,
1103446,Jockey,"Shannon Watts",72,3,
1115559,Jockey,"Mr Milo Herbert",4,3,
1115967,Jockey,"Anna Gibson",35,3,
1116397,Jockey,"Miss Victoria Malzard",16,3,
1121430,Jockey,"Mr Lyall Hodgins",24,3,
1122964,Jockey,"Mr Cameron Hillhouse",31,3,
1123817,Jockey,"Miss Chelsea Brooks",15,3,
